CODIGO;NOMBRE;DESCRIPCION
RA;REGION ALTIPLANO;REGION ALTIPLANO
RN;REGION NORTE;REGION NORTE
RS;REGION SUR;REGION SUR
RNET;REGION TERRESTRE NORESTE;REGION TERRESTRE NORESTE
RSET;REGION TERRESTRE SURESTE;REGION TERRESTRE SURESTE
RMNE;REGION MARINA NORESTE;REGION MARINA NORESTE
RMSE;REGION MARINA SURESTE;REGION MARINA SURESTE
