CODIGO;NOMBRE;DESCRIPCION
ADMIN;ADMINISTRADOR;ADMINISTRADOR DEL SISTEMA
COORD;COORDINADOR;COORDINADOR DE CAPACITACIONES
INST;INSTRUCTOR;INSTRUCTOR DE CAPACITACIONES
PART;PARTICIPANTE;PARTICIPANTE DE CAPACITACIONES
