CODIGO;Nombre;Descripcion
PRESEN;PRESENCIAL;CURSO 100% PRESENCIAL
ONLINE;VIRTUAL;CURSO 100% EN LINEA
SEMI;DUAL/SEMIPRESENCIAL;PARTE VIRTUAL Y PARTE PRESENCIAL
