Codigo;Nombre;Direccion_Fisica;Fk_Id_Municipio_CT
621;TERMINAL DE ALMACENAMIENTO Y REPARTO CIUDAD DEL MANTE;;2056
623;TERMINAL DE ALMACENAMIENTO Y REPARTO;;1852
625;TERMINAL DE ALMACENAMIENTO Y REPARTO;;1859
626;GERENCIA DE ALMACENAMIENTO Y REPARTO;;656
627;TERMINAL DE ALMACENAMIENTO Y REPARTO EL CASTILLO;;576
633;TERMINAL DE ALMACENAMIENTO Y REPARTO;;950
636;TERMINAL DE ALMACENAMIENTO Y REPARTO;;14
638;TERMINAL DE ALMACENAMIENTO Y REPARTO;;13
640;TERMINAL DE ALMACENAMIENTO Y REPARTO;;1934
644;TERMINAL DE ALMACENAMIENTO Y REPARTO;;1926
645;TERMINAL DE ALMACENAMIENTO Y REPARTO;;1838
652;TERMINAL DE ALMACENAMIENTO Y REPARTO;;432
654;TERMINAL DE ALMACENAMIENTO Y REPARTO;;424
655;TERMINAL DE ALMACENAMIENTO Y REPARTO;;718
656;TERMINAL DE ALMACENAMIENTO Y REPARTO;;1816
657;TERMINAL DE ALMACENAMIENTO Y REPARTO;;882
659;TERMINAL DE ALMACENAMIENTO Y REPARTO;;764
660;TERMINAL DE ALMACENAMIENTO Y REPARTO;;770
661;TERMINAL DE ALMACENAMIENTO Y REPARTO;;421
662;TERMINAL DE ALMACENAMIENTO Y REPARTO PAJARITOS;;2138
663;TERMINAL DE ALMACENAMIENTO Y REPARTO;;21
664;TERMINAL DE ALMACENAMIENTO Y REPARTO;;326
666;TERMINAL DE ALMACENAMIENTO Y REPARTO;;363
667;TERMINAL DE ALMACENAMIENTO Y REPARTO;;498
668;TERMINAL DE ALMACENAMIENTO Y REPARTO;;1724
669;TERMINAL DE ALMACENAMIENTO Y REPARTO;;905
673;TERMINAL DE ALMACENAMIENTO Y REPARTO;;2288
674;TERMINAL DE ALMACENAMIENTO Y REPARTO;;2174
682;TERMINAL DE ALMACENAMIENTO Y REPARTO;;1077
688;TERMINAL DE ALMACENAMIENTO Y REPARTO;;2350
693;TERMINAL DE ALMACENAMIENTO Y REPARTO;;527
695;TERMINAL DE ALMACENAMIENTO Y REPARTO SAN JUAN IXHUATEPEC;;880
696;TERMINAL DE ALMACENAMIENTO Y REPARTO;;230
697;TERMINAL DE ALMACENAMIENTO Y REPARTO;;223
699;TERMINAL DE ALMACENAMIENTO Y REPARTO;;224
702;DEPENDENCIAS DEL COORPORATIVO;;432
703;DEPENDENCIAS DEL COORPORATIVO;;527
706;DEPENDENCIAS DEL COORPORATIVO;;2288
711;DEPENDENCIAS DEL COORPORATIVO;;2054
712;DEPENDENCIAS DEL COORPORATIVO;;960
714;DEPENDENCIAS DEL COORPORATIVO CIUDAD DEL CARMEN;;216
721;DEPENDENCIAS DEL COORPORATIVO;;2225
723;DEPENDENCIAS DEL COORPORATIVO;;992
732;DEPENDENCIAS DEL COORPORATIVO;;1970
734;DEPENDENCIAS DEL COORPORATIVO;;1816
736;DEPENDENCIAS DEL COORPORATIVO;;2201
737;DEPENDENCIAS DEL COORPORATIVO;;1085
772;DEPENDENCIAS DEL COORPORATIVO;;224
773;DEPENDENCIAS DEL COORPORATIVO;;2083
777;DEPENDENCIAS DEL COORPORATIVO;;2138
779;DEPENDENCIAS DEL COORPORATIVO VILLAHERMOSA;;1972
781;DEPENDENCIAS DEL COORPORATIVO;;57
791;DEPENDENCIAS DEL COORPORATIVO;;2035
800;OFICINAS CENTRALES;;233
801;OFICINAS CENTRALES DE SERVICIOS MEDICOS;;233
802;OFICINAS CENTRALES DE SERVICIOS DE CONECTIVIDAD;;
804;SERVICIOS MEDICOS;;224
805;SERVICIOS MEDICOS PICACHO;;236
839;DEPENDENCIAS DEL COORPORATIVO BAJIO;;432
841;DEPENDENCIAS DEL COORPORATIVO EN ALMACENES Y TALLERES CENTRALES ALTACE;;229
901;COMPLEJO PROCESADOR DE GAS CACTUS;;172
902;COMPLEJO PROCESADOR DE GAS NUEVO PEMEX;;1972
903;COMPLEJO PROCESADOR DE GAS CIUDAD PEMEX;;1980
905;COMPLEJO PROCESADOR DE GAS;;2225
906;COMPLEJO PROCESADOR DE GAS;;2077
907;COMPLEJO PROCESADOR DE GAS LA VENTA;;1976
908;COMPLEJO PROCESADOR DE GAS MATAPIONCHE;;2148
909;COMPLEJO PROCESADOR DE GAS ARENQUE;;2054
933;DUCTOS SECTOR;;992
942;DUCTOS SECTOR;;2035
943;DUCTOS SECTOR;;432
951;DUCTOS SECTOR MENDOZA;;2210
952;DUCTOS SECTOR PASO DEL TORO;;2199
954;DUCTOS SECTOR;;2201
955;DUCTOS SECTOR;;1970
970;TERMINAL DE DISTRIBUCION DE GAS LICUADO;;2225
971;TERMINAL DE DISTRIBUCION DE GAS LICUADO;;21
977;TERMINAL DE DISTRIBUCION DE GAS LICUADO;;515
981;TERMINAL DE DISTRIBUCION DE GAS LICUADO;;527
992;OFICINAS REGIONALES PEMEX GAS Y PETROQUIMICA BASICA REGION NORTE;;992
1106;ACTIVO INTEGRAL DE PRODUCCION BLOQUE AS02-04;;
2000;PEMEX CIUDAD DEL CARMEN;;216
2001;PEMEX;;233
2002;PEMEX VILLAHERMOSA;;1972
2003;PEMEX;;2138
2004;PEMEX;;224
2005;PEMEX;;2083
2007;PEMEX;;2225
2008;PEMEX;;1816
2009;PEMEX;;1927
2010;PEMEX;;2054
2011;PEMEX SAN JUAN IXHUATEPEC;;880
2012;PEMEX;;432
2014;PEMEX DOS BOCAS;;1982
2015;PEMEX PICACHO;;236
2016;PEMEX;;35
2020;PEMEX;;960
2021;PEMEX;;2077
2027;PEMEX;;527
2029;PEMEX CIMA DEL TOGO;;513
2032;PEMEX;;2288
2033;PEMEX CIUDAD PEMEX;;1980
2034;PEMEX;;1085
2037;PEMEX;;2201
