Nombre;Descripcion
Teorico;
Terorico-Practico;
Teorico - Practico en campo contraincendio;
Teorico - Practico en campo contraincendio y alberca;
Teorico con practica de identificacion de riesgos y Auditorias Efectivas;
Teorico con practica de llenado de PTR;
Teorico con practica de operacion de equipo para pruebas de gas;
Teorico con visita a vehiculo para identificar puntos criticos;
Teorico con practicas de personal lesionado;
Teorico con practicas de rescate de personal lesionado;
Teorico con practicas en bote de salvamento;
Teorico con practicas de ACR;
Teorico con practicas de Auditorias Efectivas (Herramienta AAUDI-F);
Teorico con practicas de simulacro de gabinete;
Teorico con practicas de simulacion de accidente;
Teorico con practicas de las 4 etapas DO en SISDO;
Practico en campo contraincendio;
