Fk_Id_Subdireciones;Clave;Nombre
13;GRSAL;GERENCIA DE REFINERIA SALAMANCA
13;GRMAD;GERENCIA DE REFINERIA MADERO
13;GRC;GERENCIA DE REFINERIA CADEREYTA
13;GRMIN;GERENCIA DE REFINERIA MINATITLAN
13;GRSC;GERENCIA DE REFINERIA SALINA CRUZ
13;GRTUL;GERENCIA DE REFINERIA TULA
13;GROLM;GERENCIA DE REFINERIA OLMECA
14;GAP;GERENCIA DE ADMINISTRACION DE LA PRODUCCION
14;GIPMO;GERENCIA DE INGENIERIA DE PROCESOS Y MEJORA OPERATIVA
14;GCPCAN;GERENCIA DE COMPLEJO PETROQUIMICO CANGREJERA
14;GCPM;GERENCIA DE COMPLEJO PETROQUIMICO MORELOS
14;GCPCOS;GERENCIA DE COMPLEJO PETROQUIMICO COSOLEACAQUE
15;GEO;GERENCIA DE ESTRATEGIAS Y OPTIMIZACION
15;GCO;GERENCIA DE COORDINACION DE OPERACIONES
15;GADO;GERENCIA DE ANALISIS Y DESEMPEÑO OPERAT
15;GEEF;GERENCIA DE EVALUACION ECONOMICA Y FINANCIERA
15;GCSN;GERENCIA DE CONTROL Y SOPORTE AL NEGOCIO
16;GPEPP;GERENCIA DE PLANEACION Y EVALUACION DE PETROLIFEROS Y PETROQUIMICOS
16;GOPP;GERENCIA OPERATIVA DE PETROLIFEROS Y PETROQUIMICOS
16;GOIEP;GERENCIA DE OPERACION DE IMPORTACIONES Y EXPORTACIONES DE PETROLIFEROS
16;GOST;GERENCIA OPERATIVA DE SERVICIOS CON TERCEROS
17;GP1;GERENCIA DE PROYECTOS 1
17;GP2;GERENCIA DE PROYECTOS 2
17;GIC;GERENCIA DE INGENIERIA Y COSTOS
17;GSCPPETROL;GERENCIA DE SEGUIMIENTO Y CONTROL DE PROYECTOS PETROLIFEROS
17;GSCPPETROQ;GERENCIA DE SEGUIMIENTO Y CONTROL DE PROYECTOS PETROQUIMICOS
17;GAIN;GERENCIA DE ADMINISTRACION DE IMPACTOS Y NORMATIVIDAD
18;GAESSTPACA;GERENCIA DE AUDITORIA Y ESTANDARES DE SEGURIDAD SALUD EN EL TRABAJO PROTECCION AMBIENTAL Y CONFIABILIDAD DE ACTIVOS
18;GSPPETROL;GERENCIA DE SEGURIDAD DE LOS PROCESOS PETROLIFEROS
18;GSPPETROQ;GERENCIA DE SEGURIDAD DE LOS PROCESOS PETROQUIMICOS
18;GCAPPETROL;GERENCIA DE CONFIABILIDAD DE ACTIVOS DE PRODUCCION DE PETROLIFEROS
18;GCAPPETROQ;GERENCIA DE CONFIABILIDAD DE ACTIVOS DE PRODUCCION DE PETROQUIMICOS
19;GOCF;GERENCIA OPERATIVA Y COMERCIAL DE FERTILIZANTES
19;GPF;GERENCIA DE PROYECTOS DE FERTILIZANTES
