Codigo;Nombre;Descripcion
RA;REGION ALTIPLANO;REGION ALTIPLANO
RN;REGION NORTE;REGION NORTE
RS;REGION SUR;REGION SUR
RNET;REGION TERRESTRE NORESTE;REGION NORESTE TERRESTRE
RSET;REGION TERRESTRE SURESTE;REGION SURESTE TERRESTRE
RMNE;REGION MARINA NORESTE;REGION NORESTE MARINA
RMSE;REGION MARINA SURESTE;REGION SURESTE MARINA
